model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,1,1,train,0.042828649282455444,0.00015072156384121627,1.0,0.009515983052551746,0.1686946451663971,107.71499991416931,0.808359375,0.042828649282455444
RegretNetSystem,5,1,1,test,0.04146917909383774,0.0002041139086941257,1.0,0.004384804051369429,0.16818542778491974,0.04114723205566406,0.644599609375,0.04146917909383774
RegretNetSystem,5,2,1,train,0.02246672846376896,0.00083312758943066,1.0,0.01010254304856062,0.08552750945091248,112.99690270423889,0.8084375,0.02246672846376896
RegretNetSystem,5,2,1,test,0.019567936658859253,0.00011608750355662778,1.0,0.004292111378163099,0.08283094316720963,0.03612875938415527,0.644677734375,0.019567936658859253
RegretNetSystem,5,3,1,train,0.01654021255671978,0.001942695234902203,1.0,0.007726164069026709,0.06438281387090683,110.94995713233948,0.8085546875,0.01654021255671978
RegretNetSystem,5,3,1,test,0.013968871906399727,0.0002661820035427809,1.0,0.003969937562942505,0.06245940551161766,0.03428459167480469,0.644794921875,0.013968871906399727
RegretNetSystem,5,4,1,train,0.013007656671106815,0.0008404897525906563,1.0,0.005358545575290918,0.055245716124773026,106.28567862510681,0.808623046875,0.013007656671106815
RegretNetSystem,5,4,1,test,0.011809375137090683,0.00038595887599512935,1.0,0.004855648148804903,0.048252373933792114,0.034726619720458984,0.64484375,0.011809375137090683
RegretNetSystem,9,1,1,train,0.06755931675434113,0.0,1.0,0.01194131188094616,0.5165159702301025,119.32026386260986,1.250205078125,0.06755931675434113
RegretNetSystem,9,1,1,test,0.062284983694553375,0.002680557779967785,1.0,0.012351117096841335,0.4618241488933563,0.050664424896240234,1.073193359375,0.062284983694553375
RegretNetSystem,9,2,1,train,0.03930273652076721,0.0,1.0,0.00817527063190937,0.2946530282497406,113.4805703163147,1.250361328125,0.03930273652076721
RegretNetSystem,9,2,1,test,0.03624516353011131,0.002594110555946827,1.0,0.006949847564101219,0.2667173445224762,0.05000758171081543,1.073271484375,0.03624516353011131
RegretNetSystem,9,3,1,train,0.02103957161307335,0.0004585841379594058,1.0,0.004413660150021315,0.13724245131015778,112.98361301422119,1.250400390625,0.02103957161307335
RegretNetSystem,9,3,1,test,0.020763210952281952,0.00026357543538324535,1.0,0.004228111356496811,0.13653619587421417,0.03551673889160156,1.073427734375,0.020763210952281952
RegretNetSystem,9,4,1,train,0.02153671719133854,0.0,1.0,0.004269593860954046,0.16294947266578674,120.71333813667297,1.25046875,0.02153671719133854
RegretNetSystem,9,4,1,test,0.020014194771647453,0.0014575454406440258,1.0,0.004008318297564983,0.15074247121810913,0.039337873458862305,1.0734765625,0.020014194771647453
RegretNetSystem,10,1,1,train,0.06771384924650192,0.0,1.0,0.012355249375104904,0.5071410536766052,120.29467725753784,1.372451171875,0.06771384924650192
RegretNetSystem,10,1,1,test,0.06370846927165985,0.002814913634210825,1.0,0.010596297681331635,0.47992444038391113,0.03574848175048828,1.20865234375,0.06370846927165985
RegretNetSystem,10,2,1,train,0.03852782025933266,0.0,1.0,0.0073082041926681995,0.28605741262435913,115.89878416061401,1.372568359375,0.03852782025933266
RegretNetSystem,10,2,1,test,0.037178244441747665,0.0026803037617355585,1.0,0.006631378084421158,0.26635557413101196,0.03950023651123047,1.20876953125,0.037178244441747665
RegretNetSystem,10,3,1,train,0.024649834260344505,0.0003422062436584383,1.0,0.004440810531377792,0.1768973469734192,122.11710405349731,1.372646484375,0.024649834260344505
RegretNetSystem,10,3,1,test,0.02433602325618267,0.0007372490945272148,1.0,0.004220488481223583,0.18089450895786285,0.04417872428894043,1.20876953125,0.02433602325618267
RegretNetSystem,10,4,1,train,0.02107922174036503,0.0,1.0,0.0034092417918145657,0.16517318785190582,120.35141229629517,1.37275390625,0.02107922174036503
RegretNetSystem,10,4,1,test,0.020330410450696945,0.0013183322735130787,1.0,0.0036116349510848522,0.1532353311777115,0.037772417068481445,1.208935546875,0.020330410450696945
NonSPRuleSystem,5,1,1,train,0.042131226509809494,nan,1.0,0.0,0.1693325936794281,0.3608112335205078,0.16890625,0.042131226509809494
NonSPRuleSystem,5,1,1,test,0.041281651705503464,nan,1.0,0.0,0.16891975700855255,0.09000110626220703,0.168642578125,0.041281651705503464
PercentileRuleSystem,5,1,1,train,0.06192435696721077,nan,1.0,0.0,0.36965468525886536,0.13512086868286133,0.168642578125,0.06192435696721077
PercentileRuleSystem,5,1,1,test,0.060565583407878876,nan,1.0,0.0,0.3612993359565735,0.02963733673095703,0.0059765625,0.060565583407878876
DictatorRuleSystem,5,1,1,train,0.042131226509809494,nan,1.0,0.0,0.1693325936794281,0.1345977783203125,0.168681640625,0.042131226509809494
DictatorRuleSystem,5,1,1,test,0.041281651705503464,nan,1.0,0.0,0.16891975700855255,0.04259347915649414,0.006015625,0.041281651705503464
ConstantRuleSystem,5,1,1,train,0.07289586216211319,nan,1.0,0.026476101949810982,0.3797042965888977,0.09283828735351562,0.16859375,0.07289586216211319
ConstantRuleSystem,5,1,1,test,0.07228601723909378,nan,1.0,0.027383742853999138,0.37422269582748413,0.028755664825439453,0.0059765625,0.07228601723909378
MoulinNetSystem,5,1,1,train,0.042131226509809494,nan,1.0,0.0,0.1693325936794281,63.158146381378174,0.339658203125,0.042131226509809494
MoulinNetSystem,5,1,1,test,0.04128165543079376,nan,1.0,2.932548568423954e-07,0.16891971230506897,0.0524289608001709,0.176904296875,0.04128165543079376
NonSPRuleSystem,5,2,1,train,0.012074146419763565,nan,1.0,0.0,0.06251297146081924,0.5936753749847412,0.16939453125,0.012074146419763565
NonSPRuleSystem,5,2,1,test,0.011643713340163231,nan,1.0,0.0,0.061610668897628784,0.04675030708312988,0.16921875,0.011643713340163231
PercentileRuleSystem,5,2,1,train,0.021282199770212173,nan,1.0,0.0,0.13541346788406372,0.1374680995941162,0.169140625,0.021282199770212173
PercentileRuleSystem,5,2,1,test,0.01977783627808094,nan,1.0,0.0,0.12359894067049026,0.0323638916015625,0.006474609375,0.01977783627808094
DictatorRuleSystem,5,2,1,train,0.019617008045315742,nan,1.0,0.0,0.10618449747562408,0.1544053554534912,0.1691796875,0.019617008045315742
DictatorRuleSystem,5,2,1,test,0.01918184943497181,nan,1.0,0.0,0.10538080334663391,0.033492326736450195,0.006513671875,0.01918184943497181
ConstantRuleSystem,5,2,1,train,0.04897550120949745,nan,1.0,0.012477848678827286,0.2714889645576477,0.09955024719238281,0.169013671875,0.04897550120949745
ConstantRuleSystem,5,2,1,test,0.047558680176734924,nan,1.0,0.012483928352594376,0.2589399814605713,0.03223752975463867,0.006396484375,0.047558680176734924
MoulinNetSystem,5,2,1,train,0.01621323451399803,nan,1.0,0.0,0.08279556035995483,67.64736938476562,0.34640625,0.01621323451399803
MoulinNetSystem,5,2,1,test,0.015709688887000084,nan,1.0,0.0,0.08205924183130264,0.07619762420654297,0.18361328125,0.015709688887000084
NonSPRuleSystem,5,3,1,train,0.0041969348676502705,nan,1.0,0.0,0.026983002200722694,0.8031761646270752,0.169970703125,0.0041969348676502705
NonSPRuleSystem,5,3,1,test,0.003933818079531193,nan,1.0,0.0,0.025355396792292595,0.05043530464172363,0.169716796875,0.003933818079531193
PercentileRuleSystem,5,3,1,train,0.008901350200176239,nan,1.0,0.0,0.06631230562925339,0.15148138999938965,0.169560546875,0.008901350200176239
PercentileRuleSystem,5,3,1,test,0.008558019064366817,nan,1.0,0.0,0.06416969746351242,0.03248286247253418,0.00689453125,0.008558019064366817
DictatorRuleSystem,5,3,1,train,0.010057597421109676,nan,1.0,0.0,0.0681845098733902,0.14380574226379395,0.169599609375,0.010057597421109676
DictatorRuleSystem,5,3,1,test,0.009802569635212421,nan,1.0,0.0,0.06726673990488052,0.033394813537597656,0.00693359375,0.009802569635212421
ConstantRuleSystem,5,3,1,train,0.03295246139168739,nan,1.0,0.010776672512292862,0.17771035432815552,0.12211108207702637,0.169375,0.03295246139168739
ConstantRuleSystem,5,3,1,test,0.032005425542593,nan,1.0,0.01053061243146658,0.1681554615497589,0.036856651306152344,0.0067578125,0.032005425542593
MoulinNetSystem,5,3,1,train,0.005631730891764164,nan,1.0,0.0,0.03776814416050911,61.20783090591431,0.35330078125,0.005631730891764164
MoulinNetSystem,5,3,1,test,0.005558030214160681,nan,1.0,0.0,0.037992775440216064,0.05577397346496582,0.19052734375,0.005558030214160681
NonSPRuleSystem,5,4,1,train,0.0011513985227793455,nan,1.0,0.0,0.010362586006522179,0.3502182960510254,0.17083984375,0.0011513985227793455
NonSPRuleSystem,5,4,1,test,0.001082904520444572,nan,1.0,0.0,0.009746141731739044,0.04225516319274902,0.1706640625,0.001082904520444572
PercentileRuleSystem,5,4,1,train,0.003197323065251112,nan,1.0,0.0,0.028775906190276146,0.15263056755065918,0.1704296875,0.003197323065251112
PercentileRuleSystem,5,4,1,test,0.0030460634734481573,nan,1.0,0.0,0.02741457335650921,0.03144359588623047,0.007763671875,0.0030460634734481573
DictatorRuleSystem,5,4,1,train,0.004080611746758223,nan,1.0,0.0,0.03672550991177559,0.1315460205078125,0.17046875,0.004080611746758223
DictatorRuleSystem,5,4,1,test,0.004065964836627245,nan,1.0,0.0,0.03659368306398392,0.02960681915283203,0.007802734375,0.004065964836627245
ConstantRuleSystem,5,4,1,train,0.02843906544148922,nan,1.0,0.01032985933125019,0.14867831766605377,0.1689605712890625,0.17021484375,0.02843906544148922
ConstantRuleSystem,5,4,1,test,0.028129812330007553,nan,1.0,0.010130888782441616,0.14510707557201385,0.02723979949951172,0.00759765625,0.028129812330007553
MoulinNetSystem,5,4,1,train,0.0018705477705225348,nan,1.0,0.0,0.016784099861979485,64.05576848983765,0.360322265625,0.0018705477705225348
MoulinNetSystem,5,4,1,test,0.0018946309573948383,nan,1.0,0.0,0.016989419236779213,0.05173921585083008,0.197548828125,0.0018946309573948383
NonSPRuleSystem,9,1,1,train,0.0572768859565258,nan,1.0,0.0,0.4546584188938141,0.6039605140686035,0.1734375,0.0572768859565258
NonSPRuleSystem,9,1,1,test,0.05535713583230972,nan,1.0,0.0,0.43329477310180664,0.04643845558166504,0.17326171875,0.05535713583230972
PercentileRuleSystem,9,1,1,train,0.0615098737180233,nan,1.0,0.0,0.49947187304496765,0.1487424373626709,0.17326171875,0.0615098737180233
PercentileRuleSystem,9,1,1,test,0.059594783931970596,nan,1.0,0.0,0.4798276424407959,0.03419613838195801,0.010595703125,0.059594783931970596
DictatorRuleSystem,9,1,1,train,0.06788551807403564,nan,1.0,0.0,0.5275740027427673,0.14127779006958008,0.17330078125,0.06788551807403564
DictatorRuleSystem,9,1,1,test,0.06611157953739166,nan,1.0,0.0,0.5036698579788208,0.03217577934265137,0.010634765625,0.06611157953739166
ConstantRuleSystem,9,1,1,train,0.06912890821695328,nan,1.0,0.011132711544632912,0.5471999645233154,0.08900237083435059,0.173212890625,0.06912890821695328
