model,n,k,d,phase,mean_social_cost,max_regret,std_social_cost,min_social_cost,max_social_cost,duration,max_memory,metric
RegretNetSystem,5,4,1,train,0.062789403,9.83E-05,0.031494059,0.020571729,0.105447404,4.318498373,0.15846582,0.062789403
RegretNetSystem,5,4,1,test,0.062642932,0.000156554,0.031812858,0.020497439,0.105809942,0.071358204,0.142101563,0.062642932
RegretNetSystem,5,3,1,train,0.083490193,3.72E-05,0.040818986,0.029013785,0.138551712,11.78546929,0.158458984,0.083490193
RegretNetSystem,5,3,1,test,0.082804956,0.00219514,0.041821342,0.027037151,0.139090762,0.075814724,0.14209668,0.082804956
RegretNetSystem,5,4,1,train,0.062195458,4.37E-05,0.031194001,0.020395465,0.104225554,12.41514373,0.15846582,0.062195458
RegretNetSystem,5,4,1,test,0.062582135,0.00073676,0.03186303,0.020307655,0.106028594,0.078235865,0.142101563,0.062582135
RegretNetSystem,5,3,1,train,0.08354567,0,0.041946679,0.02745501,0.139969602,40.46556687,0.158458984,0.08354567
RegretNetSystem,5,3,1,test,0.082779348,4.63E-05,0.042106912,0.026831212,0.139975309,0.080508471,0.14209668,0.082779348
RegretNetSystem,5,4,1,train,0.063092187,2.98E-11,0.031943522,0.020547863,0.106789723,40.53422832,0.158464844,0.063092187
RegretNetSystem,5,4,1,test,0.06254378,1.98E-07,0.031565573,0.020291014,0.104898721,0.078671455,0.142101563,0.06254378
,,,,,,,,,,,,
,,,,,,,,,,,,
RegretNetSystem,5,3,1,train,0.07941628992557526,0.059174731373786926,0.042942505329847336,0.025808731094002724,0.14284701645374298,6.465029716491699,0.158458984375,inf
RegretNetSystem,5,3,1,test,0.08263266086578369,0.0012877335539087653,0.04117797315120697,0.02734239585697651,0.13809281587600708,0.11463451385498047,0.1420966796875,0.08263266086578369
RegretNetSystem,5,4,1,train,0.05980956554412842,0.05324414744973183,0.031323712319135666,0.01971869356930256,0.10482792556285858,6.0785956382751465,0.1584658203125,inf
RegretNetSystem,5,4,1,test,0.06649509072303772,0.0012507418869063258,0.03686879202723503,0.020499516278505325,0.12135639786720276,0.06796097755432129,0.1421015625,0.06649509072303772
RegretNetSystem,5,3,1,train,0.08320285379886627,0.0005850359448231757,0.04208170995116234,0.02750634402036667,0.1402762532234192,5.833589553833008,0.158458984375,0.08320285379886627
RegretNetSystem,5,3,1,test,0.08321598172187805,0.0019069550326094031,0.041448526084423065,0.027740107849240303,0.13888701796531677,0.0735921859741211,0.1420966796875,0.08321598172187805
RegretNetSystem,5,4,1,train,0.06264552474021912,0.0007972865714691579,0.03147610276937485,0.020562220364809036,0.10490110516548157,6.139658451080322,0.1584658203125,0.06264552474021912
RegretNetSystem,5,4,1,test,0.06243756413459778,2.533621409384068e-05,0.031113898381590843,0.021066557615995407,0.10456472635269165,0.07922530174255371,0.1421015625,0.06243756413459778
RegretNetSystem,5,3,1,train,0.07823410630226135,0.07239382714033127,0.04222029075026512,0.02474253438413143,0.1398399919271469,6.5893495082855225,0.1584580078125,inf
RegretNetSystem,5,3,1,test,0.08358591794967651,0.0020418299827724695,0.042278073728084564,0.027516042813658714,0.1413574367761612,0.07136988639831543,0.1420966796875,0.08358591794967651
RegretNetSystem,5,4,1,train,0.05991992726922035,0.06306619197130203,0.03217535465955734,0.019111232832074165,0.10650815069675446,6.342597723007202,0.1584658203125,inf
RegretNetSystem,5,4,1,test,0.06366372853517532,0.001562134944833815,0.03302584961056709,0.02018178626894951,0.10936663299798965,0.0735938549041748,0.1421015625,0.06366372853517532
RegretNetSystem,5,3,1,train,0.08334481716156006,0.00011519353574840352,0.04251272603869438,0.02718600071966648,0.14117880165576935,5.874577760696411,0.158458984375,0.08334481716156006
RegretNetSystem,5,3,1,test,0.08238741755485535,0.00011207156057935208,0.04191610589623451,0.026850208640098572,0.13927946984767914,0.07247352600097656,0.1420966796875,0.08238741755485535
RegretNetSystem,5,4,1,train,0.06257586181163788,7.40594114176929e-05,0.03168908506631851,0.020313935354351997,0.10553108900785446,6.14433479309082,0.1584658203125,0.06257586181163788
RegretNetSystem,5,4,1,test,0.06205965578556061,5.051672997069545e-05,0.03151991590857506,0.020376496016979218,0.10467702150344849,0.07035589218139648,0.1421015625,0.06205965578556061
RegretNetSystem,5,3,1,train,0.08298660069704056,1.3904275419918122e-07,0.041680511087179184,0.027417097240686417,0.13907794654369354,42.47076225280762,0.158458984375,0.08298660069704056
